,question_number,statement,mapped_topics
10,146,"Uma pessoa precisa se deslocar de automóvel do ponto P para o ponto Q, indicados na figura, na qual as linhas verticais e horizontais simbolizam ruas.

[[placeholder]]
Por causa do sentido de tráfego nessas ruas, o caminho poligonal destacado é a possibilidade mais curta de efetuar esse deslocamento. Para descrevê-lo, deve-se especificar qual o sentido a ser tomado em cada cruzamento de ruas, em relação à direção de deslocamento do automóvel, que se movimentará continuamente. Para isso, empregam-se as letras E, F e D para indicar “vire à esquerda”, “siga em frente” e “vire à direita”, respectivamente.
A sequência de letras que descreve o caminho poligonal destacado é",Conhecimentos geométricos
11,147,"Uma loja comercializa cinco modelos de caixas-d’água (1, 2, 3, 4 e 5), todos em formato de cilindro reto de base circular. Os modelos 2, 3, 4 e 5 têm as especificações de suas dimensões dadas em relação às dimensões do modelo 1, cuja profundidade é P e área da base é Ab, como segue:
• modelo 2: o dobro da profundidade e a metade da área da base do modelo 1;
• modelo 3: o dobro da profundidade e a metade do raio da base do modelo 1;
• modelo 4: a metade da profundidade e o dobro da área da base do modelo 1;
• modelo 5: a metade da profundidade e o dobro do raio da base do modelo 1.
Uma pessoa pretende comprar nessa loja o modelo de caixa-d’água que ofereça a maior capacidade volumétrica. O modelo escolhido deve ser o","Conhecimentos geométricos,Conhecimentos algébricos"
12,148,"No período de 2005 a 2013, o valor de venda dos imóveis em uma cidade apresentou alta, o que resultou no aumento dos aluguéis. Os gráficos apresentam a evolução desses valores, para um mesmo imóvel, no mercado imobiliário dessa cidade.

[[placeholder]]

A rentabilidade do aluguel de um imóvel é calculada pela razão entre o valor mensal de aluguel e o valor de mercado desse imóvel.
Com base nos dados fornecidos, em que ano a rentabilidade do aluguel foi maior?","Conhecimentos de estatística e probabilidade,Conhecimentos geométricos"
13,149,"Em uma universidade, atuam professores que estão enquadrados funcionalmente pela sua maior titulação: mestre ou doutor. Nela há, atualmente, 60 mestres e 40 doutores. Os salários mensais dos professores mestres e dos doutores são, respectivamente, 8 000 reais e 12 000 reais.
A diretoria da instituição pretende proporcionar um aumento salarial diferenciado para o ano seguinte, de tal forma que o salário médio mensal dos professores dessa instituição não ultrapasse 12 240 reais. A universidade já estabeleceu que o aumento salarial será de 25 por cento para os mestres e precisa ainda definir o percentual de reajuste para os doutores.
Mantido o número atual de professores com suas atuais titulações, o aumento salarial, em porcentagem, a ser concedido aos doutores deverá ser de, no máximo,","Conhecimentos numéricos,Conhecimentos de estatística e probabilidade"
14,150,"Um borrifador de atuação automática libera, a cada acionamento, uma mesma quantidade de inseticida. O recipiente desse produto, quando cheio, contém 360 mililitros de inseticida, que duram 60 dias se o borrifador permanecer ligado ininterruptamente e for acionado a cada 48 minutos.
A quantidade de inseticida que é liberada a cada acionamento do borrifador, em mililitro, é","Conhecimentos numéricos,Conhecimentos algébricos"
15,151,"Definem-se o dia e o ano de um planeta de um sistema solar como sendo, respectivamente, o tempo que o planeta leva para dar 1 volta completa em torno de seu próprio eixo de rotação e o tempo para dar 1 volta completa em torno de seu Sol.
Suponha que exista um planeta Z, em algum sistema solar, onde um dia corresponda a 73 dias terrestres e que 2 de seus anos correspondam a 1 ano terrestre. Considere que 1 ano terrestre tem 365 de seus dias.
No planeta Z, seu ano corresponderia a quantos de seus dias?","Conhecimentos numéricos,Conhecimentos geométricos,Conhecimentos de estatística e probabilidade"
16,152,"Quarenta mudas de flores devem ser plantadas no contorno de um canteiro circular de 2,2 metros de diâmetro, com um espaçamento padrão de 12 centímetros entre mudas. Fazendo-se os cálculos, chegou-se à conclusão de que não havia mudas suficientes e optou-se, então, por alterar o espaçamento padrão.
Use 3 como aproximação para pi.
Em quantos centímetros deve ser aumentado o espaçamento padrão entre as mudas?","Conhecimentos geométricos,Conhecimentos numéricos,Conhecimentos algébricos"
17,153,"Em uma loja, o preço promocional de uma geladeira é de 1 000 reais para pagamento somente em dinheiro. Seu preço normal, fora da promoção, é 10 por cento maior. Para pagamento feito com o cartão de crédito da loja, é dado um desconto de 2 por cento sobre o preço normal.
Uma cliente decidiu comprar essa geladeira, optando pelo pagamento com o cartão de crédito da loja. Ela calculou que o valor a ser pago seria o preço promocional acrescido de 8 por cento. Ao ser informada pela loja do valor a pagar, segundo sua opção, percebeu uma diferença entre seu cálculo e o valor que lhe foi apresentado.
O valor apresentado pela loja, comparado ao valor calculado pela cliente, foi","Conhecimentos numéricos,Conhecimentos de estatística e probabilidade,Conhecimentos algébricos"
18,154,"As empresas de capital aberto listadas na Bolsa de Valores de São Paulo (Bovespa) que melhor remuneram seus acionistas na distribuição dos lucros costumam pagar 25 por cento de seus lucros líquidos trimestrais como dividendos aos acionistas. Uma empresa de capital social listada na Bolsa de Valores de São Paulo (Bovespa) divulgou resumidamente no quadro abaixo o seguinte resultado:

|                            |                   |
|----------------------------|-------------------|
| Receitas líquidas          | R$ 422 000 000,00 |
| Lucro bruto                | R$ 76 000 000,00  |
| Lucro líquido              | R$ 28 000 000,00  |
| Lucro líquido por ação     | R$ 0,28           |

Quanto receberá de dividendos um acionista que tem 1 400 ações desta empresa?","Conhecimentos de estatística e probabilidade,Conhecimentos algébricos"
19,155,"Uma empresa de engenharia projetou uma casa com a forma de um retângulo para um de seus clientes. Esse cliente solicitou a inclusão de uma varanda em forma de L. A figura apresenta a planta baixa desenhada pela empresa, já com a varanda incluída, cujas medidas, indicadas em centímetro, representam os valores das dimensões da varanda na escala de 1 para 50.

[[placeholder]]
A medida real da área da varanda, em metro quadrado, é","Conhecimentos geométricos,Conhecimentos algébricos"
20,156,"Uma loja de roupas fixou uma meta de vendas de 77 000 reais para um determinado mês de 30 dias. O gráfico mostra o volume de vendas dessa loja, em real, nos dez primeiros dias do mês e entre o dia dez e o dia vinte desse mês, nos seus dois únicos setores (infantil e adulto). Suponha que a variação no volume de vendas, para o período registrado, tenha se dado de forma linear, como mostrado no gráfico, e que essa tendência se mantenha a mesma para os próximos dez dias.

[[placeholder]]
Ao final do trigésimo dia, quanto faltará no volume de vendas, em real, para que a meta fixada para o mês seja alcançada?","Conhecimentos numéricos,Conhecimentos geométricos"
21,157,"O funcionário de uma loja tem seu salário mensal formado por uma parcela fixa de 675 reais mais uma comissão que depende da quantidade de peças vendidas por ele no mês. O cálculo do valor dessa comissão é feito de acordo com estes critérios:
• até a quinquagésima peça vendida, paga-se 5 reais por peça;
• a partir da quinquagésima primeira peça vendida, o valor pago é de 7 reais por peça.
Represente por q a quantidade de peças vendidas no mês por esse funcionário, e por S(q) o seu salário mensal, em real, nesse mês.
A expressão algébrica que descreve S(q) em função de q é",",...

Conhecimentos numéricos,Conhecimentos algébricos"
22,158,"Ao analisar os dados de uma epidemia em uma cidade, peritos obtiveram um modelo que avalia a quantidade de pessoas infectadas a cada mês, ao longo de um ano. O modelo é dado por p de t é igual a menos t ao quadrado mais 10 vezes t mais 24, sendo t um número natural, variando de 1 a 12, que representa os meses do ano, e p de t a quantidade de pessoas infectadas no mês t do ano. Para tentar diminuir o número de infectados no próximo ano, a Secretaria Municipal de Saúde decidiu intensificar a propaganda oficial sobre os cuidados com a epidemia. Foram apresentadas cinco propostas (1, 2, 3, 4 e 5), com diferentes períodos de intensificação das propagandas:
• 1: 1 menor ou igual a t menor ou igual a 2;
• 2: 3 menor ou igual a t menor ou igual a 4;
• 3: 5 menor ou igual a t menor ou igual a 6;
• 4: 7 menor ou igual a t menor ou igual a 9;
• 5: 10 menor ou igual a t menor ou igual a 12.
A sugestão dos peritos é que seja escolhida a proposta cujo período de intensificação da propaganda englobe o mês em que, segundo o modelo, há a maior quantidade de infectados. A sugestão foi aceita. A proposta escolhida foi a","Conhecimentos algébricos,Conhecimentos de estatística e probabilidade"
23,159,"Um atleta iniciou seu treinamento visando as competições de fim de ano. Seu treinamento consiste em cinco tipos diferentes de treinos: treino T1, treino T2, treino T3, treino T4 e treino T5. A sequência dos treinamentos deve seguir esta ordem:

| Dia             | Treino    |
|:----------------|:----------|
| Primeiro        | T1        |
| Segundo         | R         |
| Terceiro        | R         |
| Quarto          | T2        |
| Quinto          | R         |
| Sexto           | R         |
| Sétimo          | T3        |
| Oitavo          | R         |
| Nono            | T4        |
| Décimo          | R         |
| Décimo primeiro | R         |
| Décimo segundo  | T5        |
| Décimo terceiro | R         |

A letra R significa repouso. Após completar a sequência de treinamentos, o atleta começa novamente a sequência a partir do treino T1 e segue a ordem descrita. Após 24 semanas completas de treinamento, se dará o início das competições.
A sequência de treinamentos que o atleta realizará na vigésima quarta semana de treinos é","Conhecimentos geométricos,Conhecimentos algébricos"
24,160,"No ano de 2015 o Brasil enfrentou uma grave crise hídrica. O diretor da empresa de abastecimento de água e saneamento do estado de São Paulo afirmou, no dia 27 de janeiro de 2015, que não estava descartado um possível racionamento em toda a capital. Segundo o diretor, para ampliar a economia de água praticada durante esse período, em uma semana seria necessário escolher dois dias não consecutivos para fornecimento de água e nos demais cinco dias seria interrompido o fornecimento.
De quantas maneiras diferentes podem ser escolhidos os dias para fornecimento e para interrupção de água nessa semana?","Conhecimentos numéricos,Conhecimentos de estatística e probabilidade"
25,161,"Uma empresa produz e vende um tipo de chocolate, maciço, em formato de cone circular reto com as medidas do diâmetro da base e da altura iguais a 8 centímetros e 10 centímetros, respectivamente.
Devido a um aumento de preço dos ingredientes utilizados na produção desse chocolate, a empresa decide produzir esse mesmo tipo de chocolate com um volume 19 por cento menor, no mesmo formato de cone circular reto com altura de 10 centímetros.
Para isso, a empresa produzirá esses novos chocolates com medida do raio da base, em centímetro, igual a","Conhecimentos geométricos,Conhecimentos algébricos,Conhecimentos numéricos."
26,162,"Em janeiro de 2013, foram declaradas 1 794 272 admissões e 1 765 372 desligamentos no Brasil, ou seja, foram criadas 28 900 vagas de emprego, segundo dados do Cadastro Geral de Empregados e Desempregados (Caged), divulgados pelo Ministério do Trabalho e Emprego (MTE). Segundo o Caged, o número de vagas criadas em janeiro de 2013 sofreu uma queda de 75 por cento, quando comparado com o mesmo período de 2012.
De acordo com as informações dadas, o número de vagas criadas em janeiro de 2012 foi","Conhecimentos numéricos,Conhecimentos de estatística e probabilidade"
27,163,"Um prédio, com 9 andares e 8 apartamentos de 2 quartos por andar, está com todos os seus apartamentos à venda. Os apartamentos são identificados por números formados por dois algarismos, sendo que a dezena indica o andar onde se encontra o apartamento, e a unidade, um algarismo de 1 a 8, que diferencia os apartamentos de um mesmo andar. Quanto à incidência de sol nos quartos desses apartamentos, constatam-se as seguintes características, em função de seus números de identificação:
• naqueles que finalizam em 1 ou 2, ambos os quartos recebem sol apenas na parte da manhã;
• naqueles que finalizam em 3, 4, 5 ou 6, apenas um dos quartos recebe sol na parte da manhã;
• naqueles que finalizam em 7 ou 8, ambos os quartos recebem sol apenas na parte da tarde.
Uma pessoa pretende comprar 2 desses apartamentos em um mesmo andar, mas quer que, em ambos, pelo menos um dos quartos receba sol na parte da manhã.
De quantas maneiras diferentes essa pessoa poderá escolher 2 desses apartamentos para compra nas condições desejadas?","Conhecimentos numéricos,Conhecimentos geométricos"
28,164,"Um médico faz o acompanhamento clínico de um grupo de pessoas que realizam atividades físicas diariamente. Ele observou que a perda média de massa dessas pessoas para cada hora de atividade física era de 1,5 quilograma. Sabendo que a massa de 1 litro de água é de 1 quilograma, ele recomendou que ingerissem, ao longo das 3 horas seguintes ao final da atividade, uma quantidade total de água correspondente a 40 por cento a mais do que a massa perdida na atividade física, para evitar desidratação.
Seguindo a recomendação médica, uma dessas pessoas ingeriu, certo dia, um total de 1,7 litro de água após terminar seus exercícios físicos.
Para que a recomendação médica tenha efetivamente sido respeitada, a atividade física dessa pessoa, nesse dia, durou",",...

Conhecimentos numéricos,Conhecimentos de estatística e probabilidade"
29,165,"Em uma sala de cinema, para garantir que os espectadores vejam toda a imagem projetada na tela, a disposição das poltronas deve obedecer à norma técnica daAssociação Brasileira de Normas Técnicas (ABNT), que faz as seguintes indicações:
• Distância mínima (Dmin) entre a tela de projeção e o encosto da poltrona da primeira fileira deve ser de, pelo menos, 60 por cento da largura (L) da tela.
• Distância máxima (Dmax entre a tela de projeção e o encosto da poltrona da última fileira deve ser o dobro da largura (L) da tela, sendo aceitável uma distância de até 2,9 vezes a largura (L) da tela.
Para o espaçamento entre as fileiras de poltronas, é considerada a distância de 1 metro entre os encostos de poltronas em duas fileiras consecutivas.
Uma sala de cinema, cuja largura da tela mede 12 metros, está montada em conformidade com as normas da ABNT e tem suas dimensões especificadas na figura.

[[placeholder]]
Pretende-se ampliar essa sala, mantendo-se na mesma posição a tela e todas as poltronas já instaladas, ampliando-se ao máximo a sala para os fundos (área de instalação de novas poltronas), respeitando-se o limite aceitável da norma da ABNT. A intenção é aumentar, ao máximo, a quantidade de poltronas da sala, instalando-se novas unidades, iguais às já instaladas.
Quantas fileiras de poltronas a sala comportará após essa ampliação?",Conhecimentos geométricos
30,166,"A luminosidade L de uma estrela está relacionada com o raio R e com a temperatura T dessa estrela segundo a Lei de Stefan-Boltzmann: L é igual a c vezes R ao quadrado vezes T elevado a 4, em que c é uma constante igual para todas as estrelas.
Considere duas estrelas E e F, sendo que a estrela E tem metade do raio da estrela F e o dobro da temperatura de F.
Indique por LE e LF suas respectivas luminosidades.
A relação entre as luminosidades dessas duas estrelas é dada por","Conhecimentos algébricos,Conhecimentos geométricos,Conhecimentos de estatística e probabilidade"
31,167,"Uma das informações que pode auxiliar no dimensionamento do número de pediatras que devem atender em uma Unidade Básica de Saúde (UBS) é o número que representa a mediana da quantidade de crianças por família existente na região sob sua responsabilidade. O quadro mostra a distribuição das frequências do número de crianças por família na região de responsabilidade de uma UBS.

|   Número de crianças por família  |   Frequência  |
|----------------------------------:|--------------:|
|                                0  |          100  |
|                                1  |          400  |
|                                2  |          200  |
|                                3  |          150  |
|                                4  |          100  |
|                                5  |           50  |

O número que representa a mediana da quantidade de crianças por família nessa região é",Conhecimentos de estatística e probabilidade
32,168,"Em jogos de voleibol, um saque é invalidado se a bola atingir o teto do ginásio onde ocorre o jogo. Um jogador de uma equipe tem um saque que atinge uma grande altura. Seu recorde foi quando a batida do saque se iniciou a uma altura de 1,5 metro do piso da quadra, e a trajetória da bola foi descrita pela parábola y é igual a menos, abre parêntese, x ao quadrado dividido por 6, fecha parêntese, menos, abre parêntese, 7 vezes x dividido por 3, fecha parêntese, mais 12, em que y representa a altura da bola em relação ao eixo x (das abscissas) que está localizado a 1,5 metro do piso da quadra, como representado na figura. Suponha que em todas as partidas algum saque desse jogador atinja a mesma altura do seu recorde.

[[placeholder]]
A equipe desse jogador participou de um torneio de voleibol no qual jogou cinco partidas, cada uma delas em um ginásio diferente. As alturas dos tetos desses ginásios, em relação aos pisos das quadras, são:
• ginásio 1: 17 metros;
• ginásio 2: 18 metros;
• ginásio 3: 19 metros;
• ginásio 4: 21 metros;
• ginásio 5: 40 metros.
O saque desse atleta foi invalidado",Conhecimentos geométricos
33,169,"O pacote básico de um jogo para smartphone, que é vendido a 50 reais, contém 2 000 gemas e 100 000 moedas de ouro, que são itens utilizáveis nesse jogo.
A empresa que comercializa esse jogo decidiu criar um pacote especial que será vendido a 100 reais e que se diferenciará do pacote básico por apresentar maiores quantidades de gemas e moedas de ouro. Para estimular as vendas desse novo pacote, a empresa decidiu inserir nele 6 000 gemas a mais, em relação ao que o cliente teria caso optasse por comprar, com a mesma quantia, dois pacotes básicos.
A quantidade de moedas de ouro que a empresa deverá inserir ao pacote especial, para que seja mantida a mesma proporção existente entre as quantidades de gemas e de moedas de ouro contidas no pacote básico, é","Conhecimentos numéricos,Conhecimentos de estatística e probabilidade"
34,170,"Um parque tem dois circuitos de tamanhos diferentes para corridas. Um corredor treina nesse parque e, no primeiro dia, inicia seu treino percorrendo 3 voltas em torno do circuito maior e 2 voltas em torno do menor, perfazendo um total de 1 800 metros. Em seguida, dando continuidade a seu treino, corre mais 2 voltas em torno do circuito maior e 1 volta em torno do menor, percorrendo mais 1 100 metros.
No segundo dia, ele pretende percorrer 5 000 metros nos circuitos do parque, fazendo um número inteiro de voltas em torno deles e de modo que o número de voltas seja o maior possível.
A soma do número de voltas em torno dos dois circuitos, no segundo dia, será","Conhecimentos numéricos,Conhecimentos geométricos,Conhecimentos algébricos"
35,171,"Uma equipe de marketing digital foi contratada para aumentar as vendas de um produto ofertado em um site de comércio eletrônico. Para isso, elaborou um anúncio que, quando o cliente clica sobre ele, é direcionado para a página de vendas do produto. Esse anúncio foi divulgado em duas redes sociais, A e B, e foram obtidos os seguintes resultados:
• rede social A: o anúncio foi visualizado por 3 000 pessoas; 10 por cento delas clicaram sobre o anúncio e foram redirecionadas para o site; 3 por cento das que clicaram sobre o anúncio compraram o produto. O investimento feito para a publicação do anúncio nessa rede foi de 100 reais;
• rede social B: o anúncio foi visualizado por 1 000 pessoas; 30 por cento delas clicaram sobre o anúncio e foram redirecionadas para o site; 2 por cento das que clicaram sobre o anúncio compraram o produto. O investimento feito para a publicação do anúncio nessa rede foi de 200 reais.
Por experiência, o pessoal da equipe de marketing considera que a quantidade de novas pessoas que verão o anúncio é diretamente proporcional ao investimento realizado, e que a quantidade de pessoas que comprarão o produto também se manterá proporcional à quantidade de pessoas que clicarão sobre o anúncio.
O responsável pelo produto decidiu, então, investir mais 300 reais em cada uma das duas redes sociais para a divulgação desse anúncio e obteve, de fato, o aumento proporcional esperado na quantidade de clientes que compraram esse produto. Para classificar o aumento obtido na quantidade (Q) de compradores desse produto, em consequência dessa segunda divulgação, em relação aos resultados observados na primeira divulgação, o responsável pelo produto adotou o seguinte critério:
• Q menor ou igual a 60 por cento: não satisfatório;
• 60 por cento menor que Q menor ou igual a 100 por cento: regular;
• 100 por cento menor que Q menor ou igual a 150 por cento: bom;
• 150 por cento menor que Q menor ou igual a 190 por cento: muito bom;
• 190 por cento menor que Q menor ou igual a 200 por cento: excelente.
O aumento na quantidade de compradores, em consequência dessa segunda divulgação, em relação ao que foi registrado com a primeira divulgação, foi classificado como","Conhecimentos de estatística e probabilidade,Conhecimentos algébricos"
36,172,"Uma montadora de automóveis divulgou que oferta a seus clientes mais de 1 000 configurações diferentes de carro, variando o modelo, a motorização, os opcionais e a cor do veículo. Atualmente, ela oferece 7 modelos de carros com 2 tipos de motores: 1.0 e 1.6. Já em relação aos opcionais, existem 3 escolhas possíveis: central multimídia, rodas de liga leve e bancos de couro, podendo o cliente optar por incluir um, dois, três ou nenhum dos opcionais disponíveis.
Para ser fiel à divulgação feita, a quantidade mínima de cores que a montadora deverá disponibilizar a seus clientes é","Conhecimentos numéricos,Conhecimentos geométricos"
37,173,"Um casal deseja recarregar seu cartão bancário pré-pago, para realizar uma viagem ao exterior. Eles recarregarão esse cartão com 3 000 dólares, em uma única transação. A unidade monetária do país onde reside o casal é o zed e a taxa cambial é de 2,20 zeds por dólar. É cobrado um imposto de 3 por cento sobre o valor pago, em zed, pela recarga, além de uma quantia fixa de 40 zeds pela transação bancária.
Qual o valor mínimo, em zed, que esse casal deve possuir para recarregar o cartão?","Conhecimentos numéricos,Conhecimentos geométricos"
38,174,"Cada número que identifica uma agência bancária tem quatro dígitos: N1, N2, N3, N4 mais um dígito verificador N5, sendo todos esses dígitos números naturais pertencentes ao conjunto formado por 0, 1, 2, 3, 4, 5, 6, 7, 8 e 9. Para a determinação de N5, primeiramente multiplica-se ordenadamente os quatro primeiros dígitos do número da agência por 5, 4, 3 e 2, respectivamente, somam-se os resultados e obtém-se S é igual a 5 vezes N1 mais 4 vezes N2 mais 3 vezes N3 mais 2 vezes N4.
Posteriormente, encontra-se o resto da divisão de S por 11, denotando por R esse resto. Dessa forma, N5 é a diferença 11 menos R.
Considere o número de uma agência bancária cujos quatro primeiros dígitos são 0100.
Qual é o dígito verificador N5 dessa agência bancária?","Conhecimentos numéricos,Conhecimentos algébricos"
39,175,"Um casal está reformando a cozinha de casa e decidiu comprar um refrigerador novo. Observando a planta da nova cozinha, desenhada na escala de 1 para 50, notaram que o espaço destinado ao refrigerador tinha 3,8 centímetros de altura e 1,6 centímetro de largura. Eles sabem que os fabricantes de refrigeradores indicam que, para um bom funcionamento e fácil manejo na limpeza, esses eletrodomésticos devem ser colocados em espaços que permitam uma distância de, pelo menos, 10 centímetros de outros móveis ou paredes, tanto na parte superior quanto nas laterais. O casal comprou um refrigerador que caberia no local a ele destinado na nova cozinha, seguindo as instruções do fabricante.
Esse refrigerador tem altura e largura máximas, em metro, respectivamente, iguais a","Conhecimentos geométricos,Conhecimentos numéricos"
